,logFC,AveExpr,t,P.Value,adj.P.Val,B
CREB1,0.107559625973598,6.64882387961768,3.44892379585442,0.000751447149596959,0.00139810135280877,-1.73681964326507
ALPPL2,-0.0600871119918553,5.94623376822225,-3.44856201576907,0.000752372127281494,0.00139953728189697,-1.73797061500372
NEDD4L,0.187086129332532,6.45057470040016,3.44854094331135,0.000752426037015418,0.00139953728189697,-1.73803765207139
CLDN9,-0.0743051302548311,5.50960868897993,-3.44843453382545,0.000752698320136974,0.00139985107976486,-1.73837616358245
HHAT,0.137760055758424,5.39898313460699,3.44745862508672,0.000755199817247563,0.00140431006192912,-1.74148033167132
USP5,0.0941946301532379,7.02330982248614,3.4466855424452,0.000757186959013682,0.00140781149416287,-1.74393882872359
GOLPH3,0.109827916674761,9.5162726440353,3.44509799358878,0.000761283016608816,0.00141523245797361,-1.74898597977523
ZFHX2,-0.064096717764323,6.22394398307795,-3.44402584170391,0.000764061049596287,0.00142020149708346,-1.75239347378547
RALGAPA1,-0.130311089074984,6.2183613311288,-3.44242328942242,0.000768231142086764,0.0014277563098601,-1.75748502024483
SNAP29,-0.211556354387579,7.5415120385165,-3.44233818597431,0.000768453190945012,0.0014279726214247,-1.7577553510135
SHBG,-0.085381249565502,5.99463104471977,-3.44205965858684,0.000769180335925974,0.00142912733572169,-1.75864005301221
ECRP,-0.0693250772838769,4.80987398279111,-3.44172027175353,0.000770067238256826,0.00143057851890598,-1.75971798517253
MIR1236 /// NELFE,0.112235136116275,9.06884739946854,3.44131043122823,0.000771139533196619,0.00143227195178578,-1.7610195677587
ARVCF,0.0645694459500931,7.20396272150525,3.44129086891099,0.000771190750510185,0.00143227195178578,-1.76108169104528
ABHD14A-ACY1 /// ACY1,0.146775432573424,7.16727108972741,3.44108588151965,0.000771727632761875,0.00143307212926309,-1.76173264369822
TK2,-0.103758109099042,5.873138545281,-3.44084473623927,0.000772359665231223,0.00143404875334524,-1.76249837681032
SCAMP5,0.119792536565574,6.44856762255549,3.44079506273377,0.000772489917908839,0.00143409357699697,-1.76265610455403
UBE2G2,-0.0898325628467366,7.21782343655243,-3.44058584547959,0.00077303874873033,0.00143491535353529,-1.7633204088902
APOBEC1,-0.0786145877986805,4.61415523665653,-3.44052137455246,0.000773207946359682,0.00143503232560438,-1.76352510944967
PSTPIP1,0.140559594337925,5.45052674360276,3.44042819570294,0.000773452546544514,0.00143528918942045,-1.76382095437178
DECR2,-0.116692358894669,8.06410595862055,-3.43999455873337,0.000774591825977809,0.00143720600330726,-1.76519767306665
TNXB,-0.052346604130085,5.17506089505858,-3.43851006168734,0.000778503931334627,0.00144426638736959,-1.76990958060942
SV2A,0.202137982653106,6.40793664892803,3.43826200863419,0.000779159432814256,0.00144528407006378,-1.77069675381222
AKAP5,-0.0598069476324828,4.29057364152112,-3.43559129885459,0.000786249903762856,0.0014582362356738,-1.77916898626389
TCP10L,-0.0750039074599975,4.93847242425855,-3.43507830049461,0.000787618778333414,0.00146057461432164,-1.78079572745369
ST3GAL2,0.0643495181947701,6.06441835291193,3.43429401054701,0.000789715886240943,0.0014642626152485,-1.78328235287776
FBXL18,0.0604838105210978,5.66820350359691,3.43362806339589,0.000791500670682907,0.00146737058494918,-1.78539339351312
HIST1H4G,-0.0674579501642579,4.29582179788603,-3.43269521489385,0.000794007135019743,0.00147181544778382,-1.78834992936809
ATG4B,0.0892892753040623,7.59472191739549,3.43152771270378,0.000797154583582193,0.00147744709230847,-1.79204921868133
CSF1,-0.054404888675852,5.69164222469343,-3.43145556311086,0.000797349474000152,0.00147760566860168,-1.79227779365927
SEPW1,0.150101370559484,9.9889644920754,3.43066774752637,0.000799480432263828,0.00148135152756315,-1.79477338642194
CEP63,0.119229304934307,6.07770060789194,3.43040034486672,0.000800204942260784,0.00148249071893825,-1.79562033851527
DAPK1,-0.11613696957603,5.72192606962744,-3.42993834203659,0.000801458160610313,0.00148460896938711,-1.79708352278798
PIP5K1B,-0.0999489607502512,4.5517251572518,-3.42952581731828,0.000802578721874922,0.00148648094095376,-1.7983898678749
MSH3,-0.0852104283343439,6.22681390132009,-3.42906886881821,0.000803821669609946,0.00148857904422834,-1.7998367361954
SPTA1,0.0617783397318632,3.60654556302985,3.42863190176028,0.000805011954939406,0.00149057906165311,-1.80122018456057
TRIT1,0.184431506264154,7.98105677204944,3.426918133942,0.000809696188005839,0.00149904712067108,-1.80664458737712
C8orf17,-0.0601047079245307,4.24782621812365,-3.42590703622621,0.000812471798258672,0.00150397977721763,-1.80984383747187
LRRC19,-0.0520223524171191,3.34103430597432,-3.4251834810487,0.00081446353932051,0.00150746024841368,-1.81213277764352
GRK6,0.0806732151637108,7.04409123282517,3.42482180655084,0.000815460842311845,0.00150909945006772,-1.81327676948437
ELOVL2,0.0970413197137267,4.45978693146577,3.42398154320113,0.000817782259339145,0.00151318828518189,-1.81593416678682
FBXO7,0.0946676107246381,8.20064254570825,3.42315311428366,0.000820077049102765,0.00151717863778678,-1.81855360091136
EN2,0.162776495570532,4.53074697477429,3.42312201634407,0.000820163309483554,0.00151717863778678,-1.81865192005245
MYOZ3,-0.0740194445885017,5.84772265602235,-3.42228443036511,0.000822489834540747,0.00152127413628277,-1.82129974696532
HIPK3,-0.0775821217738087,5.06174257085099,-3.42071450642187,0.000826867227321867,0.00152916127220239,-1.82626121889616
TPM4,-0.177785962360771,7.82307441729394,-3.41966265568117,0.000829812300512068,0.00153439776185807,-1.82958434094721
FAM115A /// LOC100294033,0.0921509524391907,6.21673452331703,3.41675403751441,0.000838007431756162,0.00154933932150267,-1.83876909721163
